DateTime_Out,Line,Feed,OutputGood,Scrap
2018-01-05 07:00:00,3,10723,10530,193
2018-01-05 07:00:00,4,9851,9774,77
2018-01-05 08:00:00,3,24352,22341,2011
2018-01-05 08:00:00,4,10004,9882,122
2018-01-05 09:00:00,3,10140,10044,96
2018-01-05 09:00:00,4,9648,9544,104
2018-01-05 10:00:00,3,9800,9720,80
2018-01-05 10:00:00,4,8604,8586,18
2018-01-05 11:00:00,3,10404,10368,36
2018-01-05 11:00:00,4,8511,8370,141
2018-01-05 12:00:00,3,10352,10206,146
2018-01-05 12:00:00,4,9420,9342,78
2018-01-05 13:00:00,3,9833,9726,107
2018-01-05 13:00:00,4,5082,5436,-354
2018-01-05 14:00:00,3,9862,9720,142
2018-01-05 14:00:00,4,4141,3510,631
2018-01-05 15:00:00,3,9180,9126,54
2018-01-05 15:00:00,4,9372,9234,138
2018-01-05 16:00:00,3,9856,9666,190
2018-01-05 16:00:00,4,6128,6210,-82
2018-01-05 17:00:00,3,8860,8532,328
2018-01-05 17:00:00,4,9638,9450,188
2018-01-05 18:00:00,3,10312,10260,52
2018-01-05 18:00:00,4,8304,8154,150
2018-01-05 19:00:00,3,9595,9558,37
2018-01-05 19:00:00,4,10040,9936,104
2018-01-05 20:00:00,3,9336,9098,238
2018-01-05 20:00:00,4,10492,10476,16
2018-01-05 21:00:00,3,8552,8532,20
2018-01-05 21:00:00,4,9831,9632,199
2018-01-05 22:00:00,3,3420,3402,18
2018-01-05 22:00:00,4,9328,9342,-14
2018-01-05 23:00:00,3,8244,8154,90
2018-01-05 23:00:00,4,10520,10314,206
2018-01-06 00:00:00,3,3790,4212,-422
2018-01-06 00:00:00,4,6140,6102,38
2018-01-06 01:00:00,3,5088,4428,660
2018-01-06 01:00:00,4,9616,9612,4
2018-01-06 02:00:00,3,9968,9882,86
2018-01-06 02:00:00,4,8104,8100,4
2018-01-06 03:00:00,3,9188,9126,62
2018-01-06 03:00:00,4,9578,9396,182
2018-01-06 04:00:00,3,10212,10098,114
2018-01-06 04:00:00,4,10075,10138,-63
2018-01-06 05:00:00,3,9608,9504,104
2018-01-06 05:00:00,4,9928,9720,208
2018-01-06 06:00:00,3,10092,10098,-6
2018-01-06 06:00:00,4,9356,9288,68
2018-01-06 07:00:00,3,10228,9990,238
2018-01-06 07:00:00,4,10600,10530,70
2018-01-06 08:00:00,3,9420,9308,112
2018-01-06 08:00:00,4,10683,10584,99
2018-01-06 09:00:00,3,10316,10152,164
2018-01-06 09:00:00,4,10728,10854,-126
2018-01-06 10:00:00,3,8588,8478,110
2018-01-06 10:00:00,4,10778,10530,248
2018-01-06 11:00:00,3,9828,9720,108
2018-01-06 11:00:00,4,10836,10698,138
2018-01-06 12:00:00,3,9205,9288,-83
2018-01-06 12:00:00,4,10568,10584,-16
2018-01-06 13:00:00,3,786,486,300
2018-01-06 13:00:00,4,10580,10422,158
2018-01-06 14:00:00,3,10080,9828,252
2018-01-06 14:00:00,4,10376,10314,62
2018-01-06 15:00:00,3,10294,9990,304
2018-01-06 15:00:00,4,9984,9936,48
2018-01-06 16:00:00,3,3194,3510,-316
2018-01-06 16:00:00,4,10844,10800,44
2018-01-06 17:00:00,3,5446,4806,640
2018-01-06 17:00:00,4,9814,9638,176
2018-01-06 18:00:00,3,9732,9666,66
2018-01-06 18:00:00,4,10479,10476,3
2018-01-06 19:00:00,3,10412,10314,98
2018-01-06 19:00:00,4,9860,9774,86
2018-01-06 20:00:00,3,10376,10314,62
2018-01-06 20:00:00,4,10252,10206,46
2018-01-06 21:00:00,3,10500,10368,132
2018-01-06 21:00:00,4,10368,10260,108
2018-01-06 22:00:00,3,10236,10152,84
2018-01-06 22:00:00,4,10132,10044,88
2018-01-06 23:00:00,3,10362,10280,82
2018-01-06 23:00:00,4,10423,10360,63
2018-01-07 00:00:00,3,7500,7398,102
2018-01-07 00:00:00,4,7518,7452,66
2018-01-07 01:00:00,3,10235,10152,83
2018-01-07 01:00:00,4,10281,10098,183
2018-01-07 02:00:00,3,10408,10368,40
2018-01-07 02:00:00,4,10539,10530,9
2018-01-07 03:00:00,3,10120,9990,130
2018-01-07 03:00:00,4,9811,9666,145
2018-01-07 04:00:00,3,10352,10260,92
