DateTime_Out,Error_Count,Sum_Duration,Line
2018-01-02 06:00:00,20,2522,1
2018-01-02 06:00:00,2,52,2
2018-01-02 07:00:00,16,370,1
2018-01-02 07:00:00,28,1430,2
2018-01-02 08:00:00,45,1508,1
2018-01-02 08:00:00,29,268,2
2018-01-02 09:00:00,30,1512,1
2018-01-02 09:00:00,39,3936,2
2018-01-02 10:00:00,43,1114,1
2018-01-02 10:00:00,16,260,2
2018-01-02 11:00:00,42,990,1
2018-01-02 11:00:00,29,484,2
2018-01-02 12:00:00,24,1124,1
2018-01-02 12:00:00,18,146,2
2018-01-02 13:00:00,22,2982,1
2018-01-02 13:00:00,52,294,2
2018-01-02 14:00:00,12,130,1
2018-01-02 14:00:00,56,382,2
2018-01-02 15:00:00,14,130,1
2018-01-02 15:00:00,43,372,2
2018-01-02 16:00:00,27,6656,1
2018-01-02 16:00:00,28,298,2
2018-01-02 17:00:00,14,38,2
2018-01-02 18:00:00,13,142,1
2018-01-02 18:00:00,49,492,2
2018-01-02 19:00:00,121,674,1
2018-01-02 19:00:00,35,224,2
2018-01-02 20:00:00,88,708,1
2018-01-02 20:00:00,19,232,2
2018-01-02 21:00:00,105,1380,1
2018-01-02 21:00:00,20,246,2
2018-01-02 22:00:00,75,4828,1
2018-01-02 22:00:00,37,432,2
2018-01-02 23:00:00,37,788,1
2018-01-02 23:00:00,29,228,2
2018-01-03 00:00:00,53,830,1
2018-01-03 00:00:00,29,472,2
2018-01-03 01:00:00,30,868,1
2018-01-03 01:00:00,74,650,2
2018-01-03 02:00:00,52,422,1
2018-01-03 02:00:00,58,290,2
2018-01-03 03:00:00,57,536,1
2018-01-03 03:00:00,62,634,2
2018-01-03 04:00:00,32,496,1
2018-01-03 04:00:00,18,3050,2
2018-01-03 05:00:00,62,848,1
2018-01-03 05:00:00,81,276,2
2018-01-03 06:00:00,50,1376,1
2018-01-03 06:00:00,16,2990,2
2018-01-03 07:00:00,61,878,1
2018-01-03 07:00:00,21,392,2
2018-01-03 08:00:00,63,542,1
2018-01-03 08:00:00,23,430,2
2018-01-03 09:00:00,77,1012,1
2018-01-03 09:00:00,66,648,2
2018-01-03 10:00:00,46,884,1
2018-01-03 10:00:00,38,1652,2
2018-01-03 11:00:00,43,404,1
2018-01-03 11:00:00,28,458,2
2018-01-03 12:00:00,52,1264,1
2018-01-03 12:00:00,44,338,2
2018-01-03 13:00:00,58,718,1
2018-01-03 13:00:00,41,1034,2
2018-01-03 14:00:00,80,1360,1
2018-01-03 14:00:00,32,474,2
2018-01-03 15:00:00,51,628,1
2018-01-03 15:00:00,34,258,2
2018-01-03 16:00:00,53,620,1
2018-01-03 16:00:00,64,252,2
2018-01-03 17:00:00,63,704,1
2018-01-03 17:00:00,21,508,2
2018-01-03 18:00:00,44,4364,1
2018-01-03 18:00:00,44,2272,2
2018-01-03 19:00:00,1,3866,1
2018-01-03 19:00:00,17,3322,2
2018-01-03 20:00:00,1,46,1
2018-01-03 20:00:00,20,172,2
2018-01-03 21:00:00,42,840,1
2018-01-03 21:00:00,33,230,2
2018-01-03 22:00:00,25,1052,1
2018-01-03 22:00:00,42,264,2
2018-01-03 23:00:00,19,900,1
2018-01-03 23:00:00,33,362,2
2018-01-04 00:00:00,31,1908,1
2018-01-04 00:00:00,35,874,2
2018-01-04 01:00:00,32,1502,1
2018-01-04 01:00:00,37,356,2
2018-01-04 02:00:00,69,550,1
2018-01-04 02:00:00,43,850,2
2018-01-04 03:00:00,75,882,1
2018-01-04 03:00:00,45,192,2
2018-01-04 04:00:00,29,580,1
2018-01-04 04:00:00,45,400,2
2018-01-04 05:00:00,25,388,1
2018-01-04 05:00:00,26,210,2
2018-01-04 06:00:00,47,672,1
2018-01-04 06:00:00,23,182,2
2018-01-04 07:00:00,14,17022,1
2018-01-04 07:00:00,28,606,2
2018-01-04 08:00:00,44,350,2
2018-01-04 09:00:00,28,272,2
2018-01-04 10:00:00,27,512,2
2018-01-04 11:00:00,29,458,2
2018-01-04 12:00:00,33,1002,1
2018-01-04 12:00:00,32,3260,2
2018-01-04 13:00:00,48,1066,1
2018-01-04 13:00:00,31,322,2
2018-01-04 14:00:00,45,532,1
2018-01-04 14:00:00,28,382,2
2018-01-04 15:00:00,28,6306,1
2018-01-04 15:00:00,22,3840,2
2018-01-04 16:00:00,12,842,2
2018-01-04 17:00:00,45,714,1
2018-01-04 17:00:00,35,544,2
2018-01-04 18:00:00,25,854,1
2018-01-04 18:00:00,71,846,2
2018-01-04 19:00:00,53,978,1
2018-01-04 19:00:00,29,352,2
2018-01-04 20:00:00,39,458,1
2018-01-04 20:00:00,65,474,2
2018-01-04 21:00:00,37,492,1
2018-01-04 21:00:00,49,1074,2
2018-01-04 22:00:00,29,894,1
2018-01-04 22:00:00,53,1130,2
2018-01-04 23:00:00,73,280,1
2018-01-04 23:00:00,32,290,2
2018-01-05 00:00:00,28,728,1
2018-01-05 00:00:00,43,396,2
2018-01-05 01:00:00,19,4296,1
2018-01-05 01:00:00,47,374,2
2018-01-05 02:00:00,5,948,1
2018-01-05 02:00:00,27,174,2
2018-01-05 03:00:00,20,448,1
2018-01-05 03:00:00,44,462,2
2018-01-05 04:00:00,35,362,1
2018-01-05 04:00:00,40,390,2
2018-01-05 05:00:00,66,470,1
2018-01-05 05:00:00,56,458,2
2018-01-05 06:00:00,76,618,1
2018-01-05 06:00:00,66,570,2
2018-01-05 07:00:00,129,2846,1
2018-01-05 07:00:00,72,498,2
2018-01-05 08:00:00,2,3796,1
2018-01-05 08:00:00,49,954,2
2018-01-05 09:00:00,1,8330,1
2018-01-05 09:00:00,25,476,2
2018-01-05 10:00:00,101,444,2
2018-01-05 11:00:00,4,854,1
2018-01-05 11:00:00,38,454,2
2018-01-05 12:00:00,2,8004,1
2018-01-05 12:00:00,22,4638,2
2018-01-05 13:00:00,9,206,2
2018-01-05 14:00:00,9,1310,1
2018-01-05 14:00:00,44,3692,2
2018-01-05 15:00:00,54,384,1
2018-01-05 15:00:00,19,350,2
2018-01-05 16:00:00,26,420,1
2018-01-05 16:00:00,43,2566,2
2018-01-05 17:00:00,32,316,1
2018-01-05 17:00:00,18,604,2
2018-01-05 18:00:00,90,290,1
2018-01-05 18:00:00,37,626,2
2018-01-05 19:00:00,49,344,1
2018-01-05 19:00:00,70,1354,2
2018-01-05 20:00:00,50,434,1
2018-01-05 20:00:00,73,1038,2
2018-01-05 21:00:00,77,418,1
2018-01-05 21:00:00,54,728,2
2018-01-05 22:00:00,35,506,1
2018-01-05 22:00:00,32,32686,2
2018-01-05 23:00:00,38,724,1
2018-01-06 00:00:00,37,628,1
