DateTime_Out,Line,Feed,OutputGood,Scrap
2018-01-02 06:00:00,1,1982,1296,686
2018-01-02 06:00:00,2,1246,594,652
2018-01-02 07:00:00,1,3892,3834,58
2018-01-02 07:00:00,2,6640,6570,70
2018-01-02 08:00:00,1,6256,5994,262
2018-01-02 08:00:00,2,10060,9990,70
2018-01-02 09:00:00,1,6480,6210,270
2018-01-02 09:00:00,2,4687,5202,-515
2018-01-02 10:00:00,1,7682,7452,230
2018-01-02 10:00:00,2,4474,3996,478
2018-01-02 11:00:00,1,7948,7668,280
2018-01-02 11:00:00,2,9608,9396,212
2018-01-02 12:00:00,1,7688,7452,236
2018-01-02 12:00:00,2,10840,10746,94
2018-01-02 13:00:00,1,7276,7398,-122
2018-01-02 13:00:00,2,10076,10098,-22
2018-01-02 14:00:00,1,5356,5184,172
2018-01-02 14:00:00,2,10007,9990,17
2018-01-02 15:00:00,1,10776,10584,192
2018-01-02 15:00:00,2,9928,9828,100
2018-01-02 16:00:00,1,9680,9720,-40
2018-01-02 16:00:00,2,10260,10098,162
2018-01-02 17:00:00,2,11024,10962,62
2018-01-02 18:00:00,1,3136,3078,58
2018-01-02 18:00:00,2,9632,9558,74
2018-01-02 19:00:00,1,8880,8856,24
2018-01-02 19:00:00,2,10476,10368,108
2018-01-02 20:00:00,1,8551,8316,235
2018-01-02 20:00:00,2,10400,10368,32
2018-01-02 21:00:00,1,6772,6696,76
2018-01-02 21:00:00,2,10452,10422,30
2018-01-02 22:00:00,1,3512,4014,-502
2018-01-02 22:00:00,2,9747,9666,81
2018-01-02 23:00:00,1,2230,1674,556
2018-01-02 23:00:00,2,10380,10314,66
2018-01-03 00:00:00,1,7460,7398,62
2018-01-03 00:00:00,2,9776,9666,110
2018-01-03 01:00:00,1,8324,8208,116
2018-01-03 01:00:00,2,9232,9180,52
2018-01-03 02:00:00,1,9796,9828,-32
2018-01-03 02:00:00,2,9872,9882,-10
2018-01-03 03:00:00,1,9632,9288,344
2018-01-03 03:00:00,2,9264,9180,84
2018-01-03 04:00:00,1,9899,9828,71
2018-01-03 04:00:00,2,1304,1332,-28
2018-01-03 05:00:00,1,8460,8532,-72
2018-01-03 05:00:00,2,10288,10152,136
2018-01-03 06:00:00,1,6335,6048,287
2018-01-03 06:00:00,2,5239,5292,-53
2018-01-03 07:00:00,1,8443,8424,19
2018-01-03 07:00:00,2,6496,6426,70
2018-01-03 08:00:00,1,9244,9126,118
2018-01-03 08:00:00,2,9823,9828,-5
2018-01-03 09:00:00,1,7912,7722,190
2018-01-03 09:00:00,2,9296,9270,26
2018-01-03 10:00:00,1,8352,8262,90
2018-01-03 10:00:00,2,5856,5670,186
2018-01-03 11:00:00,1,9771,9666,105
2018-01-03 11:00:00,2,9712,9666,46
2018-01-03 12:00:00,1,7632,7452,180
2018-01-03 12:00:00,2,10056,10098,-42
2018-01-03 13:00:00,1,8544,8424,120
2018-01-03 13:00:00,2,8024,7884,140
2018-01-03 14:00:00,1,6661,6588,73
2018-01-03 14:00:00,2,9562,9558,4
2018-01-03 15:00:00,1,9024,8856,168
2018-01-03 15:00:00,2,10388,10260,128
2018-01-03 16:00:00,1,9207,9072,135
2018-01-03 16:00:00,2,10380,10314,66
2018-01-03 17:00:00,1,8819,8802,17
2018-01-03 17:00:00,2,9464,9450,14
2018-01-03 18:00:00,1,8296,8046,250
2018-01-03 18:00:00,2,4134,3996,138
2018-01-03 19:00:00,2,5912,5832,80
2018-01-03 20:00:00,2,5844,5832,12
2018-01-03 21:00:00,1,8120,8154,-34
2018-01-03 21:00:00,2,10183,10206,-23
2018-01-03 22:00:00,1,7980,7722,258
2018-01-03 22:00:00,2,10272,10260,12
2018-01-03 23:00:00,1,9264,9072,192
2018-01-03 23:00:00,2,10032,9936,96
2018-01-04 00:00:00,1,4488,4320,168
2018-01-04 00:00:00,2,8572,8478,94
2018-01-04 01:00:00,1,7796,7614,182
2018-01-04 01:00:00,2,10136,10044,92
2018-01-04 02:00:00,1,9419,9342,77
2018-01-04 02:00:00,2,8567,8532,35
2018-01-04 03:00:00,1,8223,7938,285
2018-01-04 03:00:00,2,10331,10260,71
2018-01-04 04:00:00,1,9356,9126,230
2018-01-04 04:00:00,2,9960,9882,78
2018-01-04 05:00:00,1,9904,9882,22
2018-01-04 05:00:00,2,10532,10584,-52
2018-01-04 06:00:00,1,9168,9126,42
2018-01-04 06:00:00,2,10620,10476,144
2018-01-04 07:00:00,1,5104,4914,190
2018-01-04 07:00:00,2,9154,9126,28
2018-01-04 08:00:00,1,684,540,144
2018-01-04 08:00:00,2,10076,10044,32
2018-01-04 09:00:00,1,7967,7884,83
2018-01-04 09:00:00,2,10296,10260,36
2018-01-04 10:00:00,1,2358,2376,-18
2018-01-04 10:00:00,2,9768,9666,102
2018-01-04 11:00:00,1,152,162,-10
2018-01-04 11:00:00,2,9536,9558,-22
2018-01-04 12:00:00,1,5791,5724,67
2018-01-04 12:00:00,2,7762,8154,-392
2018-01-04 13:00:00,1,8924,8748,176
2018-01-04 13:00:00,2,3522,2970,552
2018-01-04 14:00:00,1,8240,8262,-22
2018-01-04 14:00:00,2,9892,9828,64
2018-01-04 15:00:00,1,5650,6120,-470
2018-01-04 15:00:00,2,5144,5022,122
2018-01-04 16:00:00,2,2914,2808,106
2018-01-04 17:00:00,1,6066,5616,450
2018-01-04 17:00:00,2,9268,9234,34
2018-01-04 18:00:00,1,8280,8100,180
2018-01-04 18:00:00,2,8464,8478,-14
2018-01-04 19:00:00,1,8100,8046,54
2018-01-04 19:00:00,2,10139,10044,95
2018-01-04 20:00:00,1,9710,9558,152
2018-01-04 20:00:00,2,9536,9504,32
2018-01-04 21:00:00,1,9584,9504,80
2018-01-04 21:00:00,2,7904,7884,20
2018-01-04 22:00:00,1,8263,8316,-53
2018-01-04 22:00:00,2,7868,7776,92
2018-01-04 23:00:00,1,10224,10152,72
2018-01-04 23:00:00,2,9948,9882,66
2018-01-05 00:00:00,1,8868,8748,120
2018-01-05 00:00:00,2,9888,9828,60
2018-01-05 01:00:00,1,6256,6156,100
2018-01-05 01:00:00,2,10358,10260,98
2018-01-05 02:00:00,1,52,54,-2
2018-01-05 02:00:00,2,10210,10152,58
2018-01-05 03:00:00,1,9400,9414,-14
2018-01-05 03:00:00,2,9828,9720,108
2018-01-05 04:00:00,1,10104,10044,60
2018-01-05 04:00:00,2,9856,9882,-26
2018-01-05 05:00:00,1,9430,9396,34
2018-01-05 05:00:00,2,9696,9720,-24
2018-01-05 06:00:00,1,9128,9018,110
2018-01-05 06:00:00,2,9340,9072,268
2018-01-05 07:00:00,1,6946,7416,-470
2018-01-05 07:00:00,2,9466,9450,16
2018-01-05 08:00:00,2,9830,9720,110
2018-01-05 09:00:00,2,8088,7938,150
2018-01-05 10:00:00,2,9740,9774,-34
2018-01-05 11:00:00,2,9712,9558,154
2018-01-05 12:00:00,2,3450,4014,-564
2018-01-05 13:00:00,2,3598,3024,574
2018-01-05 14:00:00,1,3868,3510,358
2018-01-05 14:00:00,2,4924,4860,64
2018-01-05 15:00:00,1,9980,9828,152
2018-01-05 15:00:00,2,4996,4806,190
2018-01-05 16:00:00,1,9836,9774,62
2018-01-05 16:00:00,2,8016,7884,132
