Line,Staff,StartTime,EndTime
1,1,2018-01-15 22:50:01,2018-01-16 06:40:01
1,3,2018-01-15 22:50:03,2018-01-16 06:40:03
1,1,2018-01-16 06:30:01,2018-01-16 15:00:01
1,3,2018-01-16 06:30:03,2018-01-16 15:00:03
1,1,2018-01-16 14:50:01,2018-01-16 23:00:01
1,3,2018-01-16 14:50:03,2018-01-16 23:00:03
1,1,2018-01-16 22:50:01,2018-01-17 00:27:30
1,3,2018-01-16 22:50:03,2018-01-17 06:40:00
1,1,2018-01-17 01:49:55,2018-01-17 06:40:00
1,1,2018-01-17 06:30:01,2018-01-17 15:00:01
1,3,2018-01-17 06:30:03,2018-01-17 15:00:03
1,1,2018-01-17 14:50:01,2018-01-17 23:00:01
1,3,2018-01-17 14:50:03,2018-01-17 23:00:03
1,1,2018-01-17 22:50:01,2018-01-17 23:07:50
1,3,2018-01-17 22:50:03,2018-01-18 06:40:00
1,1,2018-01-18 01:37:27,2018-01-18 06:40:00
1,1,2018-01-18 06:30:01,2018-01-18 15:00:01
1,3,2018-01-18 06:30:03,2018-01-18 15:00:03
1,1,2018-01-18 14:50:01,2018-01-18 23:00:01
1,3,2018-01-18 14:50:03,2018-01-18 23:00:03
1,1,2018-01-18 22:50:01,2018-01-18 23:22:52
1,3,2018-01-18 22:50:03,2018-01-18 23:22:52
1,4,2018-01-18 23:22:58,2018-01-19 06:40:00
1,4,2018-01-19 06:30:04,2018-01-19 15:00:04
1,4,2018-01-19 14:50:04,2018-01-19 23:00:04
1,4,2018-01-19 22:50:04,2018-01-20 06:40:04
1,4,2018-01-20 06:30:04,2018-01-20 15:00:04
1,4,2018-01-20 14:50:04,2018-01-20 23:00:04
1,4,2018-01-20 22:50:04,2018-01-21 06:40:04
1,4,2018-01-21 06:30:04,2018-01-21 15:00:04
1,4,2018-01-21 14:50:04,2018-01-21 22:57:14
1,4,2018-01-21 22:50:04,2018-01-21 22:57:14
1,5,2018-01-21 22:57:19,2018-01-22 06:40:00
1,5,2018-01-22 06:30:05,2018-01-22 15:00:05
1,5,2018-01-22 14:50:05,2018-01-22 15:39:48
1,3,2018-01-22 15:39:51,2018-01-22 23:00:00
1,5,2018-01-22 15:39:57,2018-01-22 16:36:06
1,5,2018-01-22 22:43:57,2018-01-22 23:00:00
1,3,2018-01-22 22:50:03,2018-01-23 06:40:03
1,5,2018-01-22 22:50:05,2018-01-23 06:40:05
1,3,2018-01-23 06:30:03,2018-01-23 15:00:03
1,5,2018-01-23 06:30:05,2018-01-23 15:00:05
1,3,2018-01-23 14:50:03,2018-01-23 22:30:00
1,5,2018-01-23 14:50:05,2018-01-23 22:30:00
1,4,2018-01-23 22:30:04,2018-01-23 22:53:38
1,4,2018-01-23 22:50:04,2018-01-23 22:53:38
1,5,2018-01-23 22:53:43,2018-01-24 06:40:00
1,5,2018-01-24 06:30:05,2018-01-24 14:44:08
1,3,2018-01-24 06:48:01,2018-01-24 14:44:08
1,4,2018-01-24 14:44:12,2018-01-24 15:00:00
1,4,2018-01-24 14:50:04,2018-01-24 23:00:04
1,4,2018-01-24 22:50:04,2018-01-25 06:40:04
1,4,2018-01-25 06:30:04,2018-01-25 14:22:04
1,3,2018-01-25 14:21:31,2018-01-25 15:00:00
1,3,2018-01-25 14:50:03,2018-01-25 23:00:03
1,3,2018-01-25 22:50:03,2018-01-26 06:40:03
1,3,2018-01-26 06:30:03,2018-01-26 15:00:03
1,3,2018-01-26 14:50:03,2018-01-26 23:00:03
1,3,2018-01-26 22:50:03,2018-01-27 06:40:03
1,3,2018-01-27 06:30:03,2018-01-27 07:45:06
1,4,2018-01-27 07:45:10,2018-01-27 15:00:00
1,4,2018-01-27 14:50:04,2018-01-27 23:00:04
1,4,2018-01-27 22:50:04,2018-01-28 06:40:04
1,4,2018-01-28 06:30:04,2018-01-28 15:00:04
1,4,2018-01-28 14:50:04,2018-01-28 23:00:04
1,4,2018-01-28 22:50:04,2018-01-29 06:40:04
1,4,2018-01-29 06:30:04,2018-01-29 15:00:04
1,4,2018-01-29 14:50:04,2018-01-29 23:00:04
1,4,2018-01-29 22:50:04,2018-01-30 06:40:04
1,4,2018-01-30 06:30:04,2018-01-30 15:00:04
1,4,2018-01-30 14:50:04,2018-01-30 23:00:04
1,4,2018-01-30 22:50:04,2018-01-31 05:19:38
1,2,2018-01-31 05:19:38,2018-01-31 06:40:00
1,2,2018-01-31 06:30:02,2018-01-31 15:00:00
1,4,2018-01-31 08:35:22,2018-01-31 15:00:00
1,2,2018-01-31 14:50:02,2018-01-31 23:00:02
1,4,2018-01-31 14:50:04,2018-01-31 23:00:04
1,2,2018-01-31 22:50:02,2018-01-31 23:37:02
1,4,2018-01-31 22:50:04,2018-01-31 23:37:02
1,3,2018-01-31 23:37:05,2018-02-01 06:40:00
1,3,2018-02-01 06:30:03,2018-02-01 15:00:03
1,3,2018-02-01 14:50:03,2018-02-01 23:00:03
1,3,2018-02-01 22:50:03,2018-02-02 06:40:03
1,3,2018-02-02 06:30:03,2018-02-02 15:00:03
1,3,2018-02-02 14:50:03,2018-02-02 23:00:03
1,3,2018-02-02 22:50:03,2018-02-03 06:40:03
1,3,2018-02-03 06:30:03,2018-02-03 15:00:03
1,3,2018-02-03 14:50:03,2018-02-03 23:00:03
1,3,2018-02-03 22:50:03,2018-02-04 06:40:03
1,3,2018-02-04 06:30:03,2018-02-04 12:11:30
1,4,2018-02-04 10:34:12,2018-02-04 12:11:28
1,4,2018-02-04 12:11:36,2018-02-04 14:50:50
1,4,2018-02-04 14:50:04,2018-02-04 14:50:50
1,3,2018-02-04 14:50:55,2018-02-04 23:00:00
1,5,2018-02-04 14:50:57,2018-02-04 14:53:14
1,7,2018-02-04 14:50:59,2018-02-04 14:53:14
1,3,2018-02-04 22:50:03,2018-02-05 06:40:03
1,3,2018-02-05 06:30:03,2018-02-05 15:00:03
1,3,2018-02-05 14:50:03,2018-02-05 23:00:00
1,5,2018-02-05 16:15:21,2018-02-05 23:00:00
1,3,2018-02-05 22:50:03,2018-02-06 06:40:03
1,5,2018-02-05 22:50:05,2018-02-06 06:40:05
1,3,2018-02-06 06:30:03,2018-02-06 15:00:03
1,5,2018-02-06 06:30:05,2018-02-06 15:00:05
1,3,2018-02-06 14:50:03,2018-02-06 23:00:00
1,5,2018-02-06 14:50:05,2018-02-06 22:12:08
1,4,2018-02-06 22:12:12,2018-02-06 23:00:00
1,3,2018-02-06 22:50:03,2018-02-07 06:40:03
1,4,2018-02-06 22:50:04,2018-02-07 06:40:04
1,3,2018-02-07 06:30:03,2018-02-07 15:00:03
1,4,2018-02-07 06:30:04,2018-02-07 15:00:04
1,3,2018-02-07 14:50:03,2018-02-07 23:00:03
1,4,2018-02-07 14:50:04,2018-02-07 23:00:04
1,3,2018-02-07 22:50:03,2018-02-08 06:40:03
1,4,2018-02-07 22:50:04,2018-02-08 06:40:04
1,3,2018-02-08 06:30:03,2018-02-08 15:00:03
1,4,2018-02-08 06:30:04,2018-02-08 15:00:04
1,3,2018-02-08 14:50:03,2018-02-08 23:00:03
